gene_name	number_of_transposon_per_gene	number_of_read_pergene
HMRA1 	1 	0 	
YCR097W-A 	1 	0 	
GIT1 	28 	310 	
YCR099C 	3 	75 	
YCR100C 	8 	57 	
YCR101C 	5 	28 	
YCR102C 	34 	394 	
YCR102W-A 	2 	1 	
PAU3 	9 	52 	
ADH7 	46 	729 	
RDS1 	30 	201 	
AAD3 	14 	48 	
YCR108C 	9 	63 	
COS7 	7 	124 	
YDL247W-A 	0 	0 	
MPH2 	3 	6 	
SOR2 	3 	2 	
HXT15 	5 	55 	
THI13 	11 	75 	
AAD4 	32 	690 	
YDL242W 	17 	336 	
YDL241W 	2 	3 	
YDL240C-A 	16 	227 	
LRG1 	51 	877 	
ADY3 	24 	184 	
GUD1 	25 	376 	
AIM6 	21 	102 	
PHO13 	17 	186 	
YPD1 	2 	27 	
GYP7 	42 	574 	
MFG1 	28 	333 	
OST4 	0 	0 	
BRE4 	42 	521 	
PTP1 	30 	457 	
SSB1 	14 	85 	
YDL228C 	7 	32 	
HO 	72 	1098 	
GCS1 	9 	63 	
SHS1 	21 	234 	
WHI4 	27 	203 	
HBT1 	80 	1022 	
FMP45 	17 	116 	
YDL221W 	44 	1553 	
CDC13 	42 	1110 	
DTD1 	11 	61 	
YDL218W 	28 	315 	
TIM22 	1 	0 	
RRI1 	27 	426 	
GDH2 	67 	1343 	
PRR2 	52 	739 	
NOP6 	24 	325 	
SHR3 	2 	2 	
YDL211C 	42 	638 	
UGA4 	47 	723 	
CWC2 	1 	0 	
NHP2 	2 	11 	
GLE1 	7 	93 	
YDL206W 	41 	518 	
HEM3 	1 	0 	
RTN2 	25 	442 	
ACK1 	36 	430 	
MRPL11 	1 	0 	
TRM8 	22 	249 	
MGT1 	17 	306 	
YDL199C 	27 	424 	
GGC1 	3 	8 	
ASF2 	42 	386 	
YDL196W 	22 	801 	
SEC31 	1 	0 	
SNF3 	29 	299 	
NUS1 	1 	0 	
ARF1 	8 	63 	
RPL35A 	1 	0 	
UFD2 	42 	579 	
RBS1 	19 	154 	
PPH22 	16 	237 	
YDL187C 	13 	65 	
YDL186W 	17 	126 	
YDL185C-A 	8 	41 	
VMA1 	4 	3 	
RPL41A 	0 	0 	
YDL183C 	31 	422 	
LYS20 	31 	337 	
INH1 	8 	90 	
YDL180W 	22 	204 	
PCL9 	13 	15 	
DLD2 	45 	769 	
YDL177C 	22 	254 	
YDL176W 	33 	351 	
AIR2 	33 	390 	
DLD1 	54 	883 	
PAR32 	21 	223 	
YDL172C 	12 	48 	
GLT1 	122 	1991 	
UGA3 	38 	524 	
UGX2 	14 	59 	
SFA1 	38 	415 	
NRP1 	35 	482 	
FAP7 	3 	10 	
CDC36 	4 	32 	
CDC9 	4 	120 	
YDL163W 	4 	120 	
YDL162C 	25 	694 	
ENT1 	23 	213 	
MHF2 	3 	25 	
DHH1 	10 	64 	
YDL159W-A 	8 	91 	
STE7 	40 	455 	
YDL159C-B 	2 	6 	
YDL158C 	4 	16 	
YDL157C 	8 	44 	
CMR1 	71 	1195 	
CLB3 	24 	306 	
MSH5 	69 	1159 	
SAS10 	6 	27 	
YDL152W 	13 	80 	
BUD30 	9 	51 	
RPC53 	11 	55 	
ATG9 	18 	149 	
NOP14 	12 	143 	
RPN5 	1 	0 	
LDB17 	17 	156 	
COP1 	4 	12 	
YDL144C 	22 	339 	
CCT4 	0 	0 	
CRD1 	23 	322 	
BPL1 	1 	0 	
RPO21 	7 	34 	
SCM3 	1 	0 	
RGT2 	70 	868 	
ARF2 	25 	358 	
RPL35B 	4 	8 	
RDI1 	13 	147 	
PPH21 	22 	433 	
RPL41B 	0 	0 	
SRF1 	31 	272 	
CDC53 	13 	46 	
LYS21 	23 	154 	
STF1 	15 	171 	
RPP1B 	18 	167 	
YDL129W 	27 	382 	
VCX1 	36 	435 	
PCL2 	49 	730 	
CDC48 	4 	6 	
HNT1 	19 	197 	
YDL124W 	20 	427 	
SNA4 	12 	166 	
UBP1 	40 	476 	
YDL121C 	8 	143 	
YFH1 	2 	3 	
YDL119C 	21 	217 	
YDL118W 	11 	99 	
CYK3 	43 	379 	
NUP84 	9 	45 	
IWR1 	19 	188 	
YDL114W-A 	0 	0 	
YDL114W 	34 	299 	
ATG20 	25 	525 	
TRM3 	77 	1039 	
RRP42 	1 	0 	
TMA17 	21 	240 	
YDL109C 	77 	1518 	
KIN28 	3 	6 	
MSS2 	8 	60 	
PHO2 	20 	192 	
NSE4 	1 	0 	
QRI7 	28 	468 	
QRI1 	4 	6 	
POL3 	8 	33 	
DUN1 	39 	710 	
GET3 	14 	139 	
BUG1 	36 	289 	
SNU23 	3 	21 	
RPN6 	0 	0 	
OPI6 	10 	144 	
PMT1 	38 	493 	
YDL094C 	29 	793 	
PMT5 	59 	775 	
