gene_name	number_of_transposon_per_gene	number_of_read_pergene
TUP1 	2 	1 	
YCR085W 	15 	36 	
CSM1 	24 	331 	
YCR087W 	7 	151 	
YCR087C-A 	7 	151 	
ABP1 	55 	797 	
FIG2 	55 	561 	
YCR090C 	9 	35 	
KIN82 	32 	819 	
MSH3 	52 	488 	
CDC39 	20 	92 	
CDC50 	7 	37 	
OCA4 	14 	234 	
YCR095W-A 	1 	0 	
HMRA2 	0 	0 	
HMRA1 	22 	199 	
YCR097W-A 	3 	4 	
GIT1 	38 	385 	
YCR099C 	7 	58 	
YCR100C 	10 	101 	
YCR101C 	10 	206 	
YCR102C 	34 	562 	
YCR102W-A 	5 	30 	
PAU3 	10 	80 	
ADH7 	32 	694 	
RDS1 	32 	628 	
AAD3 	20 	254 	
YCR108C 	9 	120 	
COS7 	3 	9 	
YDL247W-A 	0 	0 	
MPH2 	1 	0 	
SOR2 	1 	0 	
HXT15 	6 	23 	
THI13 	5 	140 	
AAD4 	30 	621 	
YDL242W 	14 	246 	
YDL241W 	5 	14 	
YDL240C-A 	16 	338 	
LRG1 	54 	606 	
ADY3 	29 	270 	
GUD1 	30 	582 	
AIM6 	21 	258 	
PHO13 	10 	70 	
YPD1 	3 	12 	
GYP7 	40 	644 	
MFG1 	25 	277 	
OST4 	0 	0 	
BRE4 	48 	573 	
PTP1 	38 	446 	
SSB1 	15 	153 	
YDL228C 	10 	80 	
HO 	71 	1099 	
GCS1 	12 	115 	
SHS1 	33 	321 	
WHI4 	14 	212 	
HBT1 	67 	878 	
FMP45 	15 	113 	
YDL221W 	54 	1700 	
CDC13 	54 	1108 	
DTD1 	15 	61 	
YDL218W 	17 	191 	
TIM22 	3 	6 	
RRI1 	30 	417 	
GDH2 	59 	1116 	
PRR2 	64 	1280 	
NOP6 	17 	292 	
SHR3 	3 	3 	
YDL211C 	46 	409 	
UGA4 	45 	813 	
CWC2 	2 	4 	
NHP2 	3 	2 	
GLE1 	6 	73 	
YDL206W 	32 	392 	
HEM3 	0 	0 	
RTN2 	25 	378 	
ACK1 	29 	204 	
MRPL11 	6 	12 	
TRM8 	18 	208 	
MGT1 	15 	366 	
YDL199C 	23 	311 	
GGC1 	9 	39 	
ASF2 	60 	553 	
YDL196W 	23 	403 	
SEC31 	1 	0 	
SNF3 	33 	238 	
NUS1 	2 	1 	
ARF1 	12 	82 	
RPL35A 	2 	1 	
UFD2 	56 	774 	
RBS1 	29 	206 	
PPH22 	22 	247 	
YDL187C 	8 	32 	
YDL186W 	10 	52 	
YDL185C-A 	10 	91 	
VMA1 	1 	0 	
RPL41A 	0 	0 	
YDL183C 	29 	319 	
LYS20 	37 	555 	
INH1 	10 	56 	
YDL180W 	29 	251 	
PCL9 	18 	156 	
DLD2 	51 	874 	
YDL177C 	13 	198 	
YDL176W 	35 	538 	
AIR2 	25 	239 	
DLD1 	48 	828 	
PAR32 	19 	273 	
YDL172C 	11 	126 	
GLT1 	129 	2426 	
UGA3 	40 	639 	
UGX2 	12 	89 	
SFA1 	27 	383 	
NRP1 	39 	422 	
FAP7 	0 	0 	
CDC36 	2 	1 	
CDC9 	8 	82 	
YDL163W 	7 	81 	
YDL162C 	24 	510 	
ENT1 	23 	321 	
MHF2 	5 	14 	
DHH1 	7 	81 	
YDL159W-A 	5 	45 	
STE7 	31 	851 	
YDL159C-B 	3 	15 	
YDL158C 	2 	9 	
YDL157C 	9 	87 	
CMR1 	69 	1265 	
CLB3 	22 	390 	
MSH5 	53 	667 	
SAS10 	3 	9 	
YDL152W 	10 	88 	
BUD30 	4 	11 	
RPC53 	4 	11 	
ATG9 	34 	312 	
NOP14 	13 	165 	
RPN5 	2 	12 	
LDB17 	17 	56 	
COP1 	2 	10 	
YDL144C 	36 	730 	
CCT4 	1 	0 	
CRD1 	32 	1087 	
BPL1 	3 	3 	
RPO21 	9 	52 	
SCM3 	2 	2 	
RGT2 	50 	672 	
ARF2 	24 	343 	
RPL35B 	3 	2 	
RDI1 	15 	153 	
PPH21 	19 	241 	
RPL41B 	2 	1 	
SRF1 	30 	235 	
CDC53 	5 	5 	
LYS21 	23 	202 	
STF1 	10 	55 	
RPP1B 	14 	218 	
YDL129W 	19 	180 	
VCX1 	36 	435 	
PCL2 	49 	1155 	
CDC48 	2 	2 	
HNT1 	22 	223 	
YDL124W 	29 	436 	
SNA4 	18 	272 	
UBP1 	42 	401 	
YDL121C 	13 	272 	
YFH1 	2 	3 	
YDL119C 	20 	155 	
YDL118W 	9 	61 	
CYK3 	51 	589 	
